// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b
// command took 27.83s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b
// command took 47.1s and exited with 0
// ***** Done, took 00:01:15 (75.47 sec)   *****
// Found 4 benchmarks:
//   BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
//   BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=100]
//   BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]
//   BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=200]

// **************************
// Benchmark: BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0fd86cdf-f124-4bd2-a81a-5c47c5112d0b.dll" --benchmarkName "GetDataCilent.BenchMarkFinder.GrpcGetSmallPayloadAsync(IterationCount: 100)" --job "Default" --benchmarkId 0 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

IQR = 0.3389 s, LowerFence = 10.9194 s, UpperFence = 12.2751 s
ConfidenceInterval = [11.3641 s; 11.7705 s] (CI 99.9%), Margin = 0.2032 s (1.76% of Mean)
Skewness = 0.95, Kurtosis = 2.14, MValue = 2

// **************************
// Benchmark: BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=200]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "0fd86cdf-f124-4bd2-a81a-5c47c5112d0b.dll" --benchmarkName "GetDataCilent.BenchMarkFinder.GrpcGetLargePayloadAsync(IterationCount: 200)" --job "Default" --benchmarkId 3 in C:\Users\Administrator\source\repos\Grpc_Rest_Nuget\GetDataCilent\GetDataCilent\bin\Release\netcoreapp3.0\0fd86cdf-f124-4bd2-a81a-5c47c5112d0b\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 590857.22 ns, 590.8572 us/op
WorkloadJitting  1: 1 op, 12517900459.42 ns, 12.5179 s/op

WorkloadWarmup   1: 1 op, 11588343769.95 ns, 11.5883 s/op
WorkloadWarmup   2: 1 op, 11991765154.51 ns, 11.9918 s/op
WorkloadWarmup   3: 1 op, 11568793799.21 ns, 11.5688 s/op
WorkloadWarmup   4: 1 op, 12630004651.43 ns, 12.6300 s/op
WorkloadWarmup   5: 1 op, 11853563232.20 ns, 11.8536 s/op
WorkloadWarmup   6: 1 op, 11534132690.05 ns, 11.5341 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 11746309936.04 ns, 11.7463 s/op
WorkloadActual   2: 1 op, 11411597842.74 ns, 11.4116 s/op
WorkloadActual   3: 1 op, 11077999298.79 ns, 11.0780 s/op
WorkloadActual   4: 1 op, 11075420758.78 ns, 11.0754 s/op
WorkloadActual   5: 1 op, 11060815271.21 ns, 11.0608 s/op
WorkloadActual   6: 1 op, 11009925842.53 ns, 11.0099 s/op
WorkloadActual   7: 1 op, 11542366697.44 ns, 11.5424 s/op
WorkloadActual   8: 1 op, 11167626332.40 ns, 11.1676 s/op
WorkloadActual   9: 1 op, 11178562638.55 ns, 11.1786 s/op
WorkloadActual  10: 1 op, 11210102960.01 ns, 11.2101 s/op
WorkloadActual  11: 1 op, 11100142057.16 ns, 11.1001 s/op
WorkloadActual  12: 1 op, 11168481748.38 ns, 11.1685 s/op
WorkloadActual  13: 1 op, 11526159050.94 ns, 11.5262 s/op
WorkloadActual  14: 1 op, 11015585500.39 ns, 11.0156 s/op
WorkloadActual  15: 1 op, 11133441820.12 ns, 11.1334 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 11746309936.04 ns, 11.7463 s/op
WorkloadResult   2: 1 op, 11411597842.74 ns, 11.4116 s/op
WorkloadResult   3: 1 op, 11077999298.79 ns, 11.0780 s/op
WorkloadResult   4: 1 op, 11075420758.78 ns, 11.0754 s/op
WorkloadResult   5: 1 op, 11060815271.21 ns, 11.0608 s/op
WorkloadResult   6: 1 op, 11009925842.53 ns, 11.0099 s/op
WorkloadResult   7: 1 op, 11542366697.44 ns, 11.5424 s/op
WorkloadResult   8: 1 op, 11167626332.40 ns, 11.1676 s/op
WorkloadResult   9: 1 op, 11178562638.55 ns, 11.1786 s/op
WorkloadResult  10: 1 op, 11210102960.01 ns, 11.2101 s/op
WorkloadResult  11: 1 op, 11100142057.16 ns, 11.1001 s/op
WorkloadResult  12: 1 op, 11168481748.38 ns, 11.1685 s/op
WorkloadResult  13: 1 op, 11526159050.94 ns, 11.5262 s/op
WorkloadResult  14: 1 op, 11015585500.39 ns, 11.0156 s/op
WorkloadResult  15: 1 op, 11133441820.12 ns, 11.1334 s/op

// AfterAll
// Benchmark Process 1464 has exited with code 0

Mean = 11.2283 s, StdErr = 0.0574 s (0.51%); N = 15, StdDev = 0.2223 s
Min = 11.0099 s, Q1 = 11.0754 s, Median = 11.1676 s, Q3 = 11.4116 s, Max = 11.7463 s
IQR = 0.3362 s, LowerFence = 10.5712 s, UpperFence = 11.9159 s
ConfidenceInterval = [10.9907 s; 11.4659 s] (CI 99.9%), Margin = 0.2376 s (2.12% of Mean)
Skewness = 1.02, Kurtosis = 2.66, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\GetDataCilent.BenchMarkFinder-report.csv
  BenchmarkDotNet.Artifacts\results\GetDataCilent.BenchMarkFinder-report-github.md
  BenchmarkDotNet.Artifacts\results\GetDataCilent.BenchMarkFinder-report.html
  BenchmarkDotNet.Artifacts\results\GetDataCilent.BenchMarkFinder-report.asciidoc
  BenchmarkDotNet.Artifacts\results\GetDataCilent.BenchMarkFinder-report.csv

// * Detailed results *
BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=100]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 12.0836 s, StdErr = 0.9433 s (7.81%); N = 97, StdDev = 9.2905 s
Min = 5.6444 s, Q1 = 5.9468 s, Median = 7.3025 s, Q3 = 16.0690 s, Max = 41.4173 s
IQR = 10.1222 s, LowerFence = -9.2364 s, UpperFence = 31.2522 s
ConfidenceInterval = [8.8812 s; 15.2859 s] (CI 99.9%), Margin = 3.2023 s (26.50% of Mean)
Skewness = 1.34, Kurtosis = 3.3, MValue = 2.4
-------------------- Histogram --------------------
[ 5.480 s ;  9.019 s) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[ 9.019 s ; 12.738 s) | @@@@@@
[12.738 s ; 16.276 s) | 
[16.276 s ; 19.919 s) | 
[19.919 s ; 23.721 s) | @@@@
[23.721 s ; 27.796 s) | @@@@@@@@
[27.796 s ; 31.334 s) | @@@@@@@@
[31.334 s ; 35.010 s) | @@@
[35.010 s ; 39.648 s) | 
[39.648 s ; 43.187 s) | @
---------------------------------------------------

BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=100]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 5.8207 s, StdErr = 0.0274 s (0.47%); N = 16, StdDev = 0.1096 s
Min = 5.6563 s, Q1 = 5.7543 s, Median = 5.8155 s, Q3 = 5.8831 s, Max = 6.0719 s
IQR = 0.1288 s, LowerFence = 5.5612 s, UpperFence = 6.0763 s
ConfidenceInterval = [5.7091 s; 5.9322 s] (CI 99.9%), Margin = 0.1115 s (1.92% of Mean)
Skewness = 0.39, Kurtosis = 2.6, MValue = 2
-------------------- Histogram --------------------
[5.618 s ; 5.818 s) | @@@@@@@@
[5.818 s ; 6.110 s) | @@@@@@@@
---------------------------------------------------

BenchMarkFinder.GrpcGetSmallPayloadAsync: DefaultJob [IterationCount=200]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 11.5673 s, StdErr = 0.0491 s (0.42%); N = 15, StdDev = 0.1901 s
Min = 11.4032 s, Q1 = 11.4278 s, Median = 11.4905 s, Q3 = 11.7667 s, Max = 11.9574 s
IQR = 0.3389 s, LowerFence = 10.9194 s, UpperFence = 12.2751 s
ConfidenceInterval = [11.3641 s; 11.7705 s] (CI 99.9%), Margin = 0.2032 s (1.76% of Mean)
Skewness = 0.95, Kurtosis = 2.14, MValue = 2
-------------------- Histogram --------------------
[11.356 s ; 11.698 s) | @@@@@@@@@@@
[11.698 s ; 12.025 s) | @@@@
---------------------------------------------------

BenchMarkFinder.GrpcGetLargePayloadAsync: DefaultJob [IterationCount=200]
Runtime = .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT; GC = Concurrent Workstation
Mean = 11.2283 s, StdErr = 0.0574 s (0.51%); N = 15, StdDev = 0.2223 s
Min = 11.0099 s, Q1 = 11.0754 s, Median = 11.1676 s, Q3 = 11.4116 s, Max = 11.7463 s
IQR = 0.3362 s, LowerFence = 10.5712 s, UpperFence = 11.9159 s
ConfidenceInterval = [10.9907 s; 11.4659 s] (CI 99.9%), Margin = 0.2376 s (2.12% of Mean)
Skewness = 1.02, Kurtosis = 2.66, MValue = 2
-------------------- Histogram --------------------
[10.931 s ; 11.247 s) | @@@@@@@@@@@
[11.247 s ; 11.825 s) | @@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.0, OS=Windows 10.0.17763.316 (1809/October2018Update/Redstone5)
Intel Xeon Platinum 8259CL CPU 2.50GHz, 1 CPU, 2 logical cores and 1 physical core
Frequency=3579545 Hz, Resolution=279.3651 ns, Timer=ACPI
.NET Core SDK=3.0.100
  [Host]     : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
  DefaultJob : .NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT


|                   Method | IterationCount |     Mean |    Error |   StdDev |   Median |
|------------------------- |--------------- |---------:|---------:|---------:|---------:|
| GrpcGetSmallPayloadAsync |            100 | 12.084 s | 3.2023 s | 9.2905 s |  7.302 s |
| GrpcGetLargePayloadAsync |            100 |  5.821 s | 0.1115 s | 0.1096 s |  5.815 s |
| GrpcGetSmallPayloadAsync |            200 | 11.567 s | 0.2032 s | 0.1901 s | 11.490 s |
| GrpcGetLargePayloadAsync |            200 | 11.228 s | 0.2376 s | 0.2223 s | 11.168 s |

// * Hints *
Outliers
  BenchMarkFinder.GrpcGetSmallPayloadAsync: Default -> 3 outliers were removed (44.35 s..63.38 s)

// * Legends *
  IterationCount : Value of the 'IterationCount' parameter
  Mean           : Arithmetic mean of all measurements
  Error          : Half of 99.9% confidence interval
  StdDev         : Standard deviation of all measurements
  Median         : Value separating the higher half of all measurements (50th percentile)
  1 s            : 1 Second (1 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:40:18 (2418.12 sec), executed benchmarks: 4

Global total time: 00:41:33 (2493.63 sec), executed benchmarks: 4
// * Artifacts cleanup *
